Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
ONEgeneration,18255 Victory Blvd.,Reseda,CA,91335,'+18187086668,https://www.ONEgeneration.org,Amber Fuellenbach,Director of Special Projects,volunteer@onegeneration.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Online educational resources",City-wide or across multiple cities,Los Angeles,,In-Person,,ONEgeneration Senior Enrichment Center,Reseda,'+18187052345,M-F 8am to 5pm,https://www.onegeneration.org/onegeneration-senior-enrichment-center-osec/,ONEgeneration Senior Enrichment Center,Reseda,'+18187052345,M-F 8am to 5pm,https://www.onegeneration.org/onegeneration-senior-enrichment-center-osec/,ONEgeneration Senior Enrichment Center,Reseda,'+18187052345,M-F 8am to 5pm,https://www.onegeneration.org/onegeneration-senior-enrichment-center-osec/,ONEgeneration Senior Enrichment Center,Reseda,'+18187052345,M-F 8am to 5pm,https://www.onegeneration.org/onegeneration-senior-enrichment-center-osec/,ONEgeneration Senior Enrichment Center,Reseda,'+18187052345,M-F 8am to 5pm,https://www.onegeneration.org/onegeneration-senior-enrichment-center-osec/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Armenian, Farsi","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/12/26 11:48
International Rescue Committee,Virtual,,,,'+16196417510,https://www.rescue.org/united-states/san-diego-ca,Adeem Ismaeil,"Education & Training Program Manager - San Diego, CA",adeem.ismaeil@rescue.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Enrollment assistance in low-cost internet service programs, Digital literacy & skills training",City-wide or across multiple cities,San Diego,,Virtually,https://www.rescue.org/united-states/san-diego-ca,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Farsi, Arabic, Other",Information sharing,No. Our services are offered free of cost.,1/12/26 11:44
International Rescue Committee,5348 University Ave #205,San Diego,CA,92105,'+16196417510,https://www.rescue.org/united-states/san-diego-ca,Adeem Ismaeil,"Education & Training Program Manager - San Diego, CA",adeem.ismaeil@rescue.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Enrollment assistance in low-cost internet service programs, Digital literacy & skills training",City-wide or across multiple cities,San Diego,,In-Person,,International Rescue Committee,San Diego,'+16196417510,Monday to Friday 8:30 AM to 5:00 PM,https://www.rescue.org/united-states/san-diego-ca,International Rescue Committee,San Diego,'+16196417510,Monday to Friday 8:30 AM to 5:00 PM,https://www.rescue.org/united-states/san-diego-ca,International Rescue Committee,San Diego,'+16196417510,Monday to Friday 8:30 AM to 5:00 PM,https://www.rescue.org/united-states/san-diego-ca,International Rescue Committee,San Diego,'+16196417510,Monday to Friday 8:30 AM to 5:00 PM,https://www.rescue.org/united-states/san-diego-ca,International Rescue Committee,San Diego,'+16196417510,Monday to Friday 8:30 AM to 5:00 PM,https://www.rescue.org/united-states/san-diego-ca,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Farsi, Arabic, Other",Information sharing,No. Our services are offered free of cost.,1/12/26 11:44
Coalition for Humane Immigrant Rights (CHIRLA),1730 W. Olympic Blvd,,CA,90015,'+12133531333,http://www.chirla.org,Gebriel Dawit,Director of IT,gebriel@chirla.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Public Wi-Fi",Other,,,In-Person,,Immigrant Welcome & Empowerment Center,,,,,Immigrant Welcome & Empowerment Center,,,,,Immigrant Welcome & Empowerment Center,,,,,Immigrant Welcome & Empowerment Center,,,,,Immigrant Welcome & Empowerment Center,,,,,No. Our services are offered free of cost.,No,"English, Spanish","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/12/26 11:42
City of Downey,Virtual,,,,'+15628697331,https://www.downeyca.org,Shantae,Management Analyst,sduren@downeyca.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,,Virtually,https://www.downeylibrary.org/#block-d97b0642d7fe5b676ee0,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Other","English, Other",,No. Our services are offered free of cost.,1/12/26 11:41
City of Downey,11121 Brookshire Avenue,Downey,CA,90241,'+15628697331,https://www.downeyca.org,Shantae,Management Analyst,sduren@downeyca.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,,In-Person,,Downey City Library & Civic Center,Downey,'+15629047360,"Mon-Thurs: 10am-8pm, Fri-Sat: 10am-5pm, Sun: Closed",https://www.downeylibrary.org/#block-d97b0642d7fe5b676ee0,Downey City Library & Civic Center,Downey,'+15629047360,"Mon-Thurs: 10am-8pm, Fri-Sat: 10am-5pm, Sun: Closed",https://www.downeylibrary.org/#block-d97b0642d7fe5b676ee0,Downey City Library & Civic Center,Downey,'+15629047360,"Mon-Thurs: 10am-8pm, Fri-Sat: 10am-5pm, Sun: Closed",https://www.downeylibrary.org/#block-d97b0642d7fe5b676ee0,Downey City Library & Civic Center,Downey,'+15629047360,"Mon-Thurs: 10am-8pm, Fri-Sat: 10am-5pm, Sun: Closed",https://www.downeylibrary.org/#block-d97b0642d7fe5b676ee0,Downey City Library & Civic Center,Downey,'+15629047360,"Mon-Thurs: 10am-8pm, Fri-Sat: 10am-5pm, Sun: Closed",https://www.downeylibrary.org/#block-d97b0642d7fe5b676ee0,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Other","English, Other",,No. Our services are offered free of cost.,1/12/26 11:41
International Rescue Committee - San Diego,Virtual,,,,'+16196417510,https://www.rescue.org/,Adeem Ismaeil,"Education & Training Program Manager - San Diego, CA",adeem.ismaeil@rescue.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",City-wide or across multiple cities,San Diego,,Virtually,https://www.rescue.org/united-states/san-diego-ca,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Farsi, Arabic, Russian, Other",,,1/12/26 11:34
International Rescue Committee - San Diego,5348 University Ave #205,San Diego,CA,92105,'+16196417510,https://www.rescue.org/,Adeem Ismaeil,"Education & Training Program Manager - San Diego, CA",adeem.ismaeil@rescue.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",City-wide or across multiple cities,San Diego,,In-Person,,International Rescue Committee,San Diego,'+16196417510,"Monday to Friday, 8:30 AM–5 PM",https://www.rescue.org/united-states/san-diego-ca,International Rescue Committee,San Diego,'+16196417510,"Monday to Friday, 8:30 AM–5 PM",https://www.rescue.org/united-states/san-diego-ca,International Rescue Committee,San Diego,'+16196417510,"Monday to Friday, 8:30 AM–5 PM",https://www.rescue.org/united-states/san-diego-ca,International Rescue Committee,San Diego,'+16196417510,"Monday to Friday, 8:30 AM–5 PM",https://www.rescue.org/united-states/san-diego-ca,International Rescue Committee,San Diego,'+16196417510,"Monday to Friday, 8:30 AM–5 PM",https://www.rescue.org/united-states/san-diego-ca,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Farsi, Arabic, Russian, Other",,,1/12/26 11:34
Michelson 20MM Foundation,Virtual,,,,'+13109126104,https://20mm.org/,Cristal Mojica,Program Manager,c.mojica@20mm.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,Enrollment assistance in low-cost internet service programs,County-wide or across multiple counties,Los Angeles,,Virtually,https://20mm.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,Yes,English,"Mutual aid (financial), Information sharing",No. Our services are offered free of cost.,1/12/26 10:36
"Lifetime Learning Center, Long Beach College Foundation",1305 E. Pacific Coat Hwy,Long Beach,CA,90806,'+15629383047,https://lbccfoundation.org,Theresa Brunella,Director,tbrunella@lbcc.edu,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,Public Wi-Fi,Specific school site,,,In-Person,,LBCC Campus,,,,,LBCC Campus,,,,,LBCC Campus,,,,,LBCC Campus,,,,,LBCC Campus,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Other,Information sharing,No. Our services are offered free of cost.,1/12/26 9:52
Los Angeles Economic Development Corporation,Virtual,,,,'+12136224300,https://www.laedc.org,Joel Martin,Community Broadband Manager,joel.martin@laedc.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,Workforce development resources,City-wide or across multiple cities,Los Angeles,,Virtually,https://www.ladeal.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish","Digital equity grant writing, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/12/26 9:19
City of Artesia,18750 Clarkdale Avenue,Artesia,CA,90701,'+15628656262,https://www.cityofartesia.us,Karen Lee,Special Projects Manager,klee@cityofartesia.us,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,Enrollment assistance in low-cost internet service programs,City-wide or across multiple cities,Los Angeles,,In-Person,,Albert O. Little Community Center,Artesia,'+15628656262,8 AM-5 PM,https://www.cityofartesia.us,Albert O. Little Community Center,Artesia,'+15628656262,8 AM-5 PM,https://www.cityofartesia.us,Albert O. Little Community Center,Artesia,'+15628656262,8 AM-5 PM,https://www.cityofartesia.us,Albert O. Little Community Center,Artesia,'+15628656262,8 AM-5 PM,https://www.cityofartesia.us,Albert O. Little Community Center,Artesia,'+15628656262,8 AM-5 PM,https://www.cityofartesia.us,No. Our services are offered free of cost.,No,"English, Spanish",,,1/12/26 8:28
